Gene ID,log2FC,p-value,Significant
MFAP4,0.991875465,2.07E-05,Yes
HACD1,-0.672942145,2.11E-05,Yes
AEBP1,1.670828316,2.12E-05,Yes
LIME1,-0.900458561,2.14E-05,Yes
DDX60L,1.059781182,2.18E-05,Yes
DTNA,1.182838055,2.26E-05,Yes
ZDHHC8,-0.435521325,2.27E-05,Yes
COL19A1,-1.196353234,2.27E-05,Yes
EIF3M,0.318486892,2.27E-05,Yes
TYMP,2.420432751,2.29E-05,Yes
CD14,2.362203205,2.42E-05,Yes
LOC283683,-0.50870646,2.44E-05,Yes
TMEFF1,-0.501585157,2.49E-05,Yes
GJA9-MYCBP,1.112264455,2.54E-05,Yes
PNRC1,0.704049765,2.55E-05,Yes
MAPK11,-0.594854066,2.63E-05,Yes
SQOR,1.671350786,2.64E-05,Yes
SRP9,0.536914718,2.66E-05,Yes
TRIM46,-0.589559714,2.71E-05,Yes
NEUROD6,-1.122444495,2.74E-05,Yes
RASGRP1,-1.218245057,2.76E-05,Yes
EEF1A1,0.812536453,2.84E-05,Yes
L3MBTL4,-0.875441138,2.84E-05,Yes
PLCB1,-1.089658689,2.89E-05,Yes
TEX9,0.975617551,2.90E-05,Yes
ZC3H7A,-0.400340929,2.93E-05,Yes
TRABD2A,-1.289582746,2.94E-05,Yes
BAG3,2.761293788,2.98E-05,Yes
BCL2L12,1.448392937,3.09E-05,Yes
GRHL1,-0.811187169,3.11E-05,Yes
LINC01007,-1.891555247,3.16E-05,Yes
CD99,1.461919037,3.17E-05,Yes
CFAP53,1.334477321,3.19E-05,Yes
SLC2A6,-0.608868974,3.23E-05,Yes
TRPM2,-0.812218161,3.23E-05,Yes
LOC107985433,-1.967573428,3.24E-05,Yes
MPZL2,2.274242546,3.29E-05,Yes
PRCP,0.922912642,3.30E-05,Yes
LYPD8,-1.546318442,3.31E-05,Yes
SMPD3,-1.078945835,3.34E-05,Yes
PIFO,0.961088928,3.39E-05,Yes
CCL2,3.429759536,3.41E-05,Yes
HMGCR,-0.969846761,3.48E-05,Yes
